Rank,Candidate,Score,Strengths,Weaknesses,Explanation,File
1,Administrative_Assistant_Large,53.28,"r, administrative, assistant, attention, c, calendars, calls, communication, coordination, correspondence","description, emails, job, location, managers",Similarity=0.23; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.80,E:\hackathon\1\resume\Administrative_Assistant_Large.pdf
2,91121135,45.92,"r, administrative, assistant, attention, c, calendars, communication, correspondence, detail, documents","calls, coordination, daily, description, emails, job, location, managers",Similarity=0.09; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.68,E:\hackathon\1\resume\91121135.pdf
3,32802563,44.50,"r, administrative, assistant, c, calls, communication, correspondence, detail, documents, excel","attention, calendars, coordination, daily, description, emails, job, location, manage, management",Similarity=0.09; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.56,E:\hackathon\1\resume\32802563.pdf
4,91697974,44.16,"r, administrative, assistant, c, calendars, communication, coordination, correspondence, detail, documents","attention, calls, daily, description, emails, job, location, managers",Similarity=0.05; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.68,E:\hackathon\1\resume\91697974.pdf
5,52618188,43.76,"r, administrative, assistant, attention, c, calls, communication, daily, detail, emails","calendars, coordination, correspondence, description, documents, filing, job, location",Similarity=0.04; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.68,E:\hackathon\1\resume\52618188.pdf
6,27040860,43.65,"r, administrative, assistant, attention, c, communication, correspondence, detail, excel, experience","calendars, calls, coordination, daily, description, documents, emails, filing, location, managers",Similarity=0.06; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.60,E:\hackathon\1\resume\27040860.pdf
7,25857360,43.40,"r, administrative, assistant, c, calendars, calls, communication, detail, documents, excel","attention, coordination, correspondence, daily, description, emails, job, location, management",Similarity=0.04; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.64,E:\hackathon\1\resume\25857360.pdf
8,23438227,43.39,"r, administrative, assistant, c, calls, communication, daily, documents, excel, experience","attention, calendars, coordination, correspondence, description, detail, emails, filing, managers",Similarity=0.04; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.64,E:\hackathon\1\resume\23438227.pdf
9,27372171,43.12,"r, administrative, c, communication, daily, documents, emails, excel, experience, filing","assistant, attention, calendars, calls, coordination, correspondence, description, detail, managers",Similarity=0.04; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.64,E:\hackathon\1\resume\27372171.pdf
10,27058381,42.61,"r, c, calls, communication, description, detail, documents, excel, experience, filing","administrative, assistant, attention, calendars, coordination, correspondence, daily, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.68,E:\hackathon\1\resume\27058381.pdf
11,24230851,42.57,"r, administrative, c, calls, communication, correspondence, daily, detail, excel, experience","assistant, attention, calendars, coordination, description, documents, emails, filing, location",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.64,E:\hackathon\1\resume\24230851.pdf
12,31684925,42.40,"r, assistant, c, calls, communication, daily, detail, documents, excel, experience","administrative, attention, calendars, coordination, correspondence, description, emails, location, maintain, managers",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.60,E:\hackathon\1\resume\31684925.pdf
13,37764298,42.31,"r, administrative, assistant, c, calls, communication, daily, documents, excel, experience","attention, calendars, coordination, correspondence, description, detail, emails, filing, job, location",Similarity=0.04; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.56,E:\hackathon\1\resume\37764298.pdf
14,11957080,41.99,"r, administrative, assistant, c, calls, communication, correspondence, daily, excel, experience","attention, calendars, coordination, description, detail, documents, emails, filing, job, location",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.56,E:\hackathon\1\resume\11957080.pdf
15,36149549,41.98,"r, assistant, c, calls, communication, coordination, correspondence, detail, excel, experience","administrative, attention, calendars, daily, description, documents, emails, filing, location, maintain",Similarity=0.04; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\36149549.pdf
16,17641670,41.95,"r, c, calls, communication, coordination, daily, detail, documents, excel, experience","administrative, assistant, attention, calendars, correspondence, description, emails, filing, job, location",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.60,E:\hackathon\1\resume\17641670.pdf
17,90867631,41.86,"r, administrative, c, calls, communication, daily, emails, excel, experience, job","assistant, attention, calendars, coordination, correspondence, description, detail, documents, filing, location",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.56,E:\hackathon\1\resume\90867631.pdf
18,12472574,41.86,"r, c, calls, communication, coordination, daily, detail, documents, excel, experience","administrative, assistant, attention, calendars, correspondence, description, emails, filing, location, managers",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.60,E:\hackathon\1\resume\12472574.pdf
19,16911115,41.78,"r, assistant, c, calls, communication, daily, detail, excel, experience, location","administrative, attention, calendars, coordination, correspondence, description, documents, emails, filing, job",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.56,E:\hackathon\1\resume\16911115.pdf
20,55595908,41.74,"r, attention, c, communication, daily, detail, documents, excel, experience, job","administrative, assistant, calendars, calls, coordination, correspondence, description, emails, filing, location",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.56,E:\hackathon\1\resume\55595908.pdf
21,24913648,41.64,"r, administrative, c, calls, communication, daily, detail, documents, excel, experience","assistant, attention, calendars, coordination, correspondence, description, emails, filing, job, location",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.56,E:\hackathon\1\resume\24913648.pdf
22,79541391,41.62,"r, administrative, assistant, c, coordination, excel, experience, location, maintain, manage","attention, calendars, calls, communication, correspondence, daily, description, detail, documents, emails",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\79541391.pdf
