Rank,Candidate,Score,Strengths,Weaknesses,Explanation,File
1,17641670,22.92,"000, ability, about, analytical, analyze, area, c, cad, communication, design","145, along, applied, background, behavior, canada, navigation, role",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.72,E:\hackathon\1\resume\17641670.pdf
2,28628090,22.48,"000, ability, analyze, area, background, c, communication, design, development, engineer","145, about, along, analytical, applied, behavior, cad, canada, navigation",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.69,E:\hackathon\1\resume\28628090.pdf
3,47276718,22.20,"000, ability, about, along, analytical, analyze, area, c, cad, communication","145, applied, background, behavior, canada, mode, navigation, planning, role",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.69,E:\hackathon\1\resume\47276718.pdf
4,21629057,22.04,"000, ability, along, analyze, applied, background, c, communication, design, development","145, about, analytical, area, behavior, cad, canada, navigation, planning",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.69,E:\hackathon\1\resume\21629057.pdf
5,10247517,21.77,"000, ability, along, analyze, background, c, cad, communication, design, development","145, about, analytical, applied, area, behavior, canada, mode, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.69,E:\hackathon\1\resume\10247517.pdf
6,25608963,21.73,"ability, about, along, analyze, applied, area, background, c, communication, design","000, 145, analytical, behavior, cad, canada, mode, navigation, planning",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.69,E:\hackathon\1\resume\25608963.pdf
7,20566550,20.84,"ability, about, along, analytical, applied, background, c, cad, communication, design","000, 145, analyze, area, behavior, canada, navigation, performance, planning, role",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.66,E:\hackathon\1\resume\20566550.pdf
8,31694970,20.80,"000, about, analyze, applied, c, cad, communication, design, development, engineer","145, ability, along, analytical, area, background, behavior, canada, navigation, role",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.66,E:\hackathon\1\resume\31694970.pdf
9,12472574,20.71,"000, ability, about, analytical, applied, area, c, communication, design, development","145, along, analyze, background, behavior, cad, canada, mode, navigation, research",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.66,E:\hackathon\1\resume\12472574.pdf
10,19796840,20.35,"000, ability, analyze, applied, area, c, communication, design, development, engineer","145, about, along, analytical, background, behavior, cad, canada, navigation, research",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.66,E:\hackathon\1\resume\19796840.pdf
11,28035460,20.04,"000, ability, analyze, background, c, communication, design, development, engineer, engineering","145, about, along, analytical, applied, area, behavior, cad, canada, navigation",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.62,E:\hackathon\1\resume\28035460.pdf
12,77828437,19.86,"about, along, analytical, analyze, applied, area, c, cad, design, development","000, 145, ability, background, behavior, canada, communication, navigation, performance, planning",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.62,E:\hackathon\1\resume\77828437.pdf
13,31684925,19.85,"ability, along, analyze, area, c, cad, communication, design, development, engineer","000, 145, about, analytical, applied, background, behavior, canada, mode, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.62,E:\hackathon\1\resume\31684925.pdf
