2026-01-26T13:46:19.948164 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T13:50:33.026476 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T13:55:08.735469 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T14:01:18.106158 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T14:34:24-04:00 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T14:35:05-04:00 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T14:36:08-04:00 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T14:37:38-04:00 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T14:39:32-04:00 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T14:39:49-04:00 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T14:41:43-04:00 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T14:44:06-04:00 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T14:44:58-04:00 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T14:50:40-04:00 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-26T14:52:19-04:00 | Scored 252 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-27T11:22:14-04:00 | Scored 253 resumes | C:\Users\abhay\Desktop\coding\resume-gpt\outputs\results.csv
2026-01-29T10:12:43-04:00 | Scored 252 resumes | E:\hackathon\1\resumeGPT\outputs\results.csv
2026-01-29T10:29:05-04:00 | Scored 252 resumes | E:\hackathon\1\resumeGPT\outputs\results.csv
2026-01-29T10:40:08-04:00 | Scored 252 resumes | outputs\results.csv
2026-01-29T10:42:33-04:00 | Scored 252 resumes | outputs\results.csv
2026-01-29T11:59:40-04:00 | Scored 253 resumes | E:\hackathon\1\resumeGPT\outputs\results.csv
2026-01-29T16:46:10-04:00 | Scored 1 resumes | outputs\results.csv
2026-01-29T16:54:57-04:00 | Scored 256 resumes | outputs\results.csv
2026-01-29T17:12:33-04:00 | Scored 16 resumes | outputs\results.csv
2026-01-29T17:14:07-04:00 | Scored 256 resumes | outputs\results.csv
2026-01-29T18:47:38-04:00 | Scored 256 resumes | outputs\results.csv
2026-01-30T09:52:30-04:00 | Scored 256 resumes | outputs\results.csv
2026-01-30T09:53:27-04:00 | Scored 256 resumes | outputs\results.csv
